TIME,REGION_ID,BUS COUNT,NUMBER OF READS,SPEED
04/15/2017 12:40:29 PM,1,23,383,19.77
04/15/2017 12:40:29 PM,2,27,387,30
04/15/2017 12:40:29 PM,3,50,871,19.09
04/15/2017 12:40:29 PM,4,43,620,17.11
04/15/2017 12:40:29 PM,5,54,"1,028",20.45
04/15/2017 12:40:29 PM,6,56,883,17.05
04/15/2017 12:40:29 PM,7,43,646,19.77
04/15/2017 12:40:29 PM,8,80,"1,413",16.36
04/15/2017 12:40:29 PM,9,23,459,21.27
04/15/2017 12:40:29 PM,10,58,925,19.09
04/15/2017 12:40:29 PM,11,49,798,21.14
04/15/2017 12:40:29 PM,12,42,539,17.05
04/15/2017 12:40:29 PM,13,72,"1,051",15
04/15/2017 12:40:29 PM,14,41,717,23.18
04/15/2017 12:40:29 PM,15,31,543,24.55
04/15/2017 12:40:29 PM,16,35,427,25.5
04/15/2017 12:40:29 PM,17,9,90,29.69
04/15/2017 12:40:29 PM,18,50,821,21.82
04/15/2017 12:40:29 PM,19,44,756,23.18
04/15/2017 12:40:29 PM,20,40,704,23.86
04/15/2017 12:40:29 PM,21,45,747,25.91
04/15/2017 12:40:29 PM,22,23,254,30.48
04/15/2017 12:40:29 PM,23,43,813,23.18
04/15/2017 12:40:29 PM,24,39,763,23.86
04/15/2017 12:40:29 PM,25,22,360,30
04/15/2017 12:40:29 PM,26,47,826,26.59
04/15/2017 12:40:29 PM,27,16,242,28.64
04/15/2017 12:40:29 PM,28,8,147,36.61
04/15/2017 12:40:29 PM,29,26,208,19.77
04/15/2017 12:31:16 PM,1,23,333,19.09
04/15/2017 12:31:16 PM,2,26,439,25.23
04/15/2017 12:31:16 PM,3,52,941,17.73
04/15/2017 12:31:16 PM,4,41,625,19.09
04/15/2017 12:31:16 PM,5,51,822,19.77
04/15/2017 12:31:16 PM,6,49,894,21.14
04/15/2017 12:31:16 PM,7,42,665,18.41
04/15/2017 12:31:16 PM,8,80,"1,441",17.05
04/15/2017 12:31:16 PM,9,33,409,20.45
04/15/2017 12:31:16 PM,10,67,"1,050",20.45
04/15/2017 12:31:16 PM,11,49,843,21.14
04/15/2017 12:31:16 PM,12,40,611,17.05
04/15/2017 12:31:16 PM,13,65,992,15
04/15/2017 12:31:16 PM,14,43,652,23.18
04/15/2017 12:31:16 PM,15,38,508,25.23
04/15/2017 12:31:16 PM,16,36,411,25.91
04/15/2017 12:31:16 PM,17,8,155,30.89
04/15/2017 12:31:16 PM,18,46,763,23.18
04/15/2017 12:31:16 PM,19,41,710,25.91
04/15/2017 12:31:16 PM,20,37,587,25.91
04/15/2017 12:31:16 PM,21,48,801,26.59
04/15/2017 12:31:16 PM,22,23,359,29.32
04/15/2017 12:31:16 PM,23,50,796,18.41
04/15/2017 12:31:16 PM,24,46,735,24.27
04/15/2017 12:31:16 PM,25,16,209,28.77
04/15/2017 12:31:16 PM,26,49,958,27.27
04/15/2017 12:31:16 PM,27,19,276,30.68
04/15/2017 12:31:16 PM,28,7,105,36.82
04/15/2017 12:31:16 PM,29,26,241,17.73
04/15/2017 12:20:59 PM,1,15,272,21.14
04/15/2017 12:20:59 PM,2,27,442,28.64
04/15/2017 12:20:59 PM,3,50,833,17.86
04/15/2017 12:20:59 PM,4,37,645,17.05
04/15/2017 12:20:59 PM,5,43,832,21.82
04/15/2017 12:20:59 PM,6,56,990,17.73
04/15/2017 12:20:59 PM,7,45,711,19.77
04/15/2017 12:20:59 PM,8,79,"1,376",16.36
04/15/2017 12:20:59 PM,9,26,397,22.5
04/15/2017 12:20:59 PM,10,60,955,20.45
04/15/2017 12:20:59 PM,11,51,778,17.05
04/15/2017 12:20:59 PM,12,42,671,17.05
04/15/2017 12:20:59 PM,13,69,946,15
04/15/2017 12:20:59 PM,14,42,761,24.55
04/15/2017 12:20:59 PM,15,31,585,23.86
04/15/2017 12:20:59 PM,16,31,402,23.86
04/15/2017 12:20:59 PM,17,11,172,26.59
04/15/2017 12:20:59 PM,18,45,705,23.86
04/15/2017 12:20:59 PM,19,35,591,23.18
04/15/2017 12:20:59 PM,20,39,647,23.18
04/15/2017 12:20:59 PM,21,45,761,21.14
04/15/2017 12:20:59 PM,22,24,306,24.89
04/15/2017 12:20:59 PM,23,52,935,19.09
04/15/2017 12:20:59 PM,24,48,750,22.5
04/15/2017 12:20:59 PM,25,19,265,29.32
04/15/2017 12:20:59 PM,26,47,930,27.27
04/15/2017 12:20:59 PM,27,18,283,32.73
04/15/2017 12:20:59 PM,28,5,71,37.84
04/15/2017 12:20:59 PM,29,25,234,18.41
04/15/2017 12:10:43 PM,24,42,781,21.82
04/15/2017 12:10:43 PM,25,17,223,29.32
04/15/2017 12:10:43 PM,26,48,939,27.27
04/15/2017 12:10:43 PM,27,18,288,32.73
04/15/2017 12:10:43 PM,28,6,114,35.69
04/15/2017 12:10:43 PM,29,26,244,21.14
04/15/2017 12:10:42 PM,1,21,314,18.2
04/15/2017 12:10:42 PM,2,26,436,28.3
04/15/2017 12:10:42 PM,3,48,865,21.14
04/15/2017 12:10:42 PM,4,39,549,19.77
04/15/2017 12:10:42 PM,5,51,856,21.14
04/15/2017 12:10:42 PM,6,57,"1,032",19.09
04/15/2017 12:10:42 PM,7,43,715,19.77
04/15/2017 12:10:42 PM,8,90,"1,408",17.05
04/15/2017 12:10:42 PM,9,23,374,21.82
04/15/2017 12:10:42 PM,10,59,878,18.41
04/15/2017 12:10:42 PM,11,50,807,17.8
04/15/2017 12:10:42 PM,12,38,410,19.77
04/15/2017 12:10:42 PM,13,71,"1,141",15
04/15/2017 12:10:42 PM,14,50,775,20.45
04/15/2017 12:10:42 PM,15,32,431,24.55
04/15/2017 12:10:42 PM,16,27,395,23.59
04/15/2017 12:10:42 PM,17,13,193,28.64
04/15/2017 12:10:42 PM,18,40,762,25.91
04/15/2017 12:10:42 PM,19,41,687,25.23
04/15/2017 12:10:42 PM,20,38,659,24
04/15/2017 12:10:42 PM,21,44,788,22.5
04/15/2017 12:10:42 PM,22,26,396,29.32
04/15/2017 12:10:42 PM,23,44,717,22.5
04/15/2017 11:50:45 AM,1,17,241,16.36
04/15/2017 11:50:45 AM,1,17,241,16.36
04/15/2017 11:50:45 AM,2,26,428,28.16
04/15/2017 11:50:45 AM,2,26,428,28.16
04/15/2017 11:50:45 AM,3,49,866,23.52
04/15/2017 11:50:45 AM,3,49,866,23.52
04/15/2017 11:50:45 AM,4,40,660,18.41
04/15/2017 11:50:45 AM,4,40,660,18.41
04/15/2017 11:50:45 AM,5,48,805,24.55
04/15/2017 11:50:45 AM,5,48,805,24.55
04/15/2017 11:50:45 AM,6,53,898,18.41
04/15/2017 11:50:45 AM,6,53,898,18.41
04/15/2017 11:50:45 AM,7,48,751,19.77
04/15/2017 11:50:45 AM,7,48,751,19.77
04/15/2017 11:50:45 AM,8,78,"1,326",16.36
04/15/2017 11:50:45 AM,8,78,"1,326",16.36
04/15/2017 11:50:45 AM,9,25,396,21.82
04/15/2017 11:50:45 AM,9,25,396,21.82
04/15/2017 11:50:45 AM,10,50,831,21.14
04/15/2017 11:50:45 AM,10,50,831,21.14
04/15/2017 11:50:45 AM,11,53,749,19.64
04/15/2017 11:50:45 AM,11,53,749,19.64
04/15/2017 11:50:45 AM,12,44,590,17.73
04/15/2017 11:50:45 AM,12,44,590,17.73
04/15/2017 11:50:45 AM,13,67,975,15.68
04/15/2017 11:50:45 AM,13,67,975,15.68
04/15/2017 11:50:45 AM,14,45,799,23.18
04/15/2017 11:50:45 AM,14,45,799,23.18
04/15/2017 11:50:45 AM,15,31,505,32.05
04/15/2017 11:50:45 AM,15,31,505,32.05
04/15/2017 11:50:45 AM,16,32,517,25.5
04/15/2017 11:50:45 AM,16,32,517,25.5
04/15/2017 11:50:45 AM,17,10,202,30
04/15/2017 11:50:45 AM,17,10,202,30
04/15/2017 11:50:45 AM,18,41,766,24.55
04/15/2017 11:50:45 AM,18,41,766,24.55
04/15/2017 11:50:45 AM,19,38,608,24.55
04/15/2017 11:50:45 AM,19,38,608,24.55
04/15/2017 11:50:45 AM,20,37,649,21.82
04/15/2017 11:50:45 AM,20,37,649,21.82
04/15/2017 11:50:45 AM,21,44,637,25.23
04/15/2017 11:50:45 AM,21,44,637,25.23
04/15/2017 11:50:45 AM,22,21,327,27.95
04/15/2017 11:50:45 AM,22,21,327,27.95
04/15/2017 11:50:45 AM,23,48,671,21.14
04/15/2017 11:50:45 AM,23,48,671,21.14
04/15/2017 11:50:45 AM,24,43,830,24.55
04/15/2017 11:50:45 AM,24,43,830,24.55
04/15/2017 11:50:45 AM,25,15,245,27.95
04/15/2017 11:50:45 AM,25,15,245,27.95
04/15/2017 11:50:45 AM,26,44,824,27.95
04/15/2017 11:50:45 AM,26,44,824,27.95
04/15/2017 11:50:45 AM,27,19,241,30.68
04/15/2017 11:50:45 AM,27,19,241,30.68
04/15/2017 11:50:45 AM,28,7,124,38.18
04/15/2017 11:50:45 AM,28,7,124,38.18
04/15/2017 11:50:45 AM,29,25,183,23.18
04/15/2017 11:50:45 AM,29,25,183,23.18
04/15/2017 11:40:27 AM,1,20,315,19.5
04/15/2017 11:40:27 AM,2,25,481,27.27
04/15/2017 11:40:27 AM,3,47,822,20.45
04/15/2017 11:40:27 AM,4,42,652,19.09
04/15/2017 11:40:27 AM,5,45,805,23.59
04/15/2017 11:40:27 AM,6,51,750,18.17
04/15/2017 11:40:27 AM,7,48,763,19.09
04/15/2017 11:40:27 AM,8,77,"1,200",16.36
04/15/2017 11:40:27 AM,9,25,366,22.5
04/15/2017 11:40:27 AM,10,51,852,20.45
04/15/2017 11:40:27 AM,11,51,881,19.09
04/15/2017 11:40:27 AM,12,42,523,19.09
04/15/2017 11:40:27 AM,13,66,997,16.36
04/15/2017 11:40:27 AM,14,46,688,23.86
04/15/2017 11:40:27 AM,15,30,508,26.11
04/15/2017 11:40:27 AM,16,31,376,25.57
04/15/2017 11:40:27 AM,17,10,158,28.64
04/15/2017 11:40:27 AM,18,47,737,25.23
04/15/2017 11:40:27 AM,19,41,703,23.86
04/15/2017 11:40:27 AM,20,43,645,23.86
04/15/2017 11:40:27 AM,21,45,737,24.55
04/15/2017 11:40:27 AM,22,20,309,28.64
04/15/2017 11:40:27 AM,23,49,775,23.18
04/15/2017 11:40:27 AM,24,43,707,22.5
04/15/2017 11:40:27 AM,25,16,295,28.64
04/15/2017 11:40:27 AM,26,48,861,28.64
04/15/2017 11:40:27 AM,27,21,293,34.09
04/15/2017 11:40:27 AM,28,7,127,34.77
04/15/2017 11:40:27 AM,29,25,219,20.59
04/15/2017 11:31:12 AM,1,22,373,20.45
04/15/2017 11:31:12 AM,2,26,411,27.95
04/15/2017 11:31:12 AM,3,45,718,21.14
04/15/2017 11:31:12 AM,4,36,552,18.34
04/15/2017 11:31:12 AM,5,50,934,22.5
04/15/2017 11:31:12 AM,6,50,816,18.41
04/15/2017 11:31:12 AM,7,43,677,19.77
04/15/2017 11:31:12 AM,8,71,"1,288",15.68
04/15/2017 11:31:12 AM,9,18,317,20.05
04/15/2017 11:31:12 AM,10,51,974,19.77
04/15/2017 11:31:12 AM,11,49,760,22.5
04/15/2017 11:31:12 AM,12,44,582,17.05
04/15/2017 11:31:12 AM,13,68,956,16.36
04/15/2017 11:31:12 AM,14,43,806,23.86
04/15/2017 11:31:12 AM,15,28,448,23.86
04/15/2017 11:31:12 AM,16,29,450,22.5
